source,tour,year,fold,n_matches,n_players,n_retirements,rank_present_frac,serve_stats_frac,levels
M-atp-matches,M,2013,develop,2944,452,100,0.993,0.888,"A,D,F,G,M"
M-atp-matches,M,2014,develop,2901,427,99,0.99,0.887,"A,D,F,G,M"
M-atp-matches,M,2015,develop,2943,428,100,0.991,0.89,"A,D,F,G,M"
M-atp-matches,M,2016,develop,2941,428,95,0.995,0.991,"A,D,F,G,M"
M-atp-matches,M,2017,develop,2911,437,97,0.994,0.986,"A,D,F,G,M"
M-atp-matches,M,2018,develop,2897,418,70,0.998,0.988,"A,D,F,G,M"
M-atp-matches,M,2019,develop,2806,364,59,0.997,0.96,"A,D,F,G,M"
M-atp-matches,M,2020,develop,1462,345,25,0.99,0.968,"A,D,F,G,M"
M-atp-matches,M,2021,develop,2733,391,62,0.999,0.965,"A,D,F,G,M"
M-atp-matches,M,2022,develop,2917,407,71,0.998,0.941,"A,D,F,G,M"
M-atp-matches,M,2023,develop,2986,439,76,0.993,0.943,"A,D,F,G,M"
M-atp-matches,M,2024,develop,3076,443,81,0.994,0.98,"A,D,F,G,M,O"
M-atp-matches,M,2025,test,2944,457,109,0.996,0.912,"A,D,F,G,M"
W-wta-matches,W,2013,develop,2714,389,59,0.985,0.785,"D,F,G,I,P,PM"
W-wta-matches,W,2014,develop,2785,432,69,0.975,0.8,"D,F,G,I,P,PM"
W-wta-matches,W,2015,develop,2651,366,82,0.995,0.734,"D,G,I,P,PM,W"
W-wta-matches,W,2016,develop,2923,431,67,0.981,0.947,"D,F,G,I,O,P"
W-wta-matches,W,2017,develop,2862,444,88,0.977,0.999,"D,F,G,I,P,PM"
W-wta-matches,W,2018,develop,2756,439,81,0.98,0.996,"D,F,G,I,P,PM"
W-wta-matches,W,2019,develop,2743,376,91,0.983,0.98,"D,F,G,I,P,PM"
W-wta-matches,W,2020,develop,1276,313,18,0.977,0.998,"D,G,I,P"
W-wta-matches,W,2021,develop,2597,327,85,0.999,0.964,"D,F,G,I,O,P,PM,W"
W-wta-matches,W,2022,develop,2594,382,89,0.997,0.959,"D,F,G,I,P"
W-wta-matches,W,2023,develop,2810,422,78,0.992,0.915,"D,F,G,I,P,PM"
W-wta-matches,W,2024,develop,2689,335,84,0.999,0.976,"D,F,G,I,O,P,PM,W"
W-wta-matches,W,2025,test,2795,473,71,0.996,0.971,"35+H,50+H,D,F,G,I,P,PM"
