slam,year,tour,n_points,n_matches
ausopen,2011,M,18244,88
ausopen,2011,W,13099,91
ausopen,2012,M,18466,85
ausopen,2012,W,10535,82
ausopen,2013,M,19598,88
ausopen,2013,W,12090,91
ausopen,2014,M,16741,77
ausopen,2014,W,10918,81
ausopen,2015,M,23637,104
ausopen,2015,W,14462,105
ausopen,2016,M,25296,115
ausopen,2016,W,15785,116
ausopen,2017,M,26700,118
ausopen,2017,W,16996,119
ausopen,2018,M,29114,126
ausopen,2018,W,18426,127
ausopen,2019,M,29054,127
ausopen,2019,W,17609,127
ausopen,2020,M,28470,126
ausopen,2020,W,18060,127
ausopen,2021,M,27079,126
ausopen,2021,W,17333,127
frenchopen,2011,M,21273,99
frenchopen,2011,W,12872,95
frenchopen,2012,M,19499,87
frenchopen,2012,W,11199,85
frenchopen,2013,M,20294,94
frenchopen,2013,W,12915,92
frenchopen,2014,M,26337,127
frenchopen,2014,W,17753,127
frenchopen,2015,M,22262,102
frenchopen,2015,W,14717,106
frenchopen,2016,M,20434,92
frenchopen,2016,W,11555,84
frenchopen,2017,M,25582,123
frenchopen,2017,W,17298,119
frenchopen,2018,M,28382,127
frenchopen,2018,W,17147,126
frenchopen,2019,M,28454,127
frenchopen,2019,W,17731,125
frenchopen,2020,M,28294,127
frenchopen,2020,W,17979,126
frenchopen,2021,M,28126,126
frenchopen,2021,W,18187,125
usopen,2011,M,16814,84
usopen,2011,W,10334,77
usopen,2012,M,20632,91
usopen,2012,W,10340,80
usopen,2013,M,19790,89
usopen,2013,W,10563,78
usopen,2014,M,20446,95
usopen,2014,W,12524,92
usopen,2015,M,18490,87
usopen,2015,W,12776,89
usopen,2016,M,18147,84
usopen,2016,W,12287,88
usopen,2017,M,16980,79
usopen,2017,W,12741,86
usopen,2018,M,18753,86
usopen,2018,W,12742,92
usopen,2019,M,29573,125
usopen,2019,W,17818,126
usopen,2020,M,27147,124
usopen,2020,W,17514,124
usopen,2021,M,29904,127
usopen,2021,W,17455,126
usopen,2022,M,28907,126
usopen,2022,W,17672,126
usopen,2023,M,27155,127
usopen,2023,W,17784,126
usopen,2024,M,27745,127
usopen,2024,W,17038,126
wimbledon,2011,M,13771,64
wimbledon,2011,W,7480,53
wimbledon,2012,M,16622,73
wimbledon,2012,W,9298,67
wimbledon,2013,M,16041,75
wimbledon,2013,W,9650,71
wimbledon,2014,M,29348,127
wimbledon,2014,W,18018,126
wimbledon,2015,M,28586,125
wimbledon,2015,W,17976,127
wimbledon,2016,M,28976,126
wimbledon,2017,M,27328,127
wimbledon,2017,W,18192,127
wimbledon,2018,M,29752,127
wimbledon,2018,W,19008,127
wimbledon,2019,M,28562,127
wimbledon,2019,W,17975,127
wimbledon,2021,M,28930,126
wimbledon,2021,W,17655,127
wimbledon,2022,M,28098,125
wimbledon,2022,W,17750,127
wimbledon,2023,M,29631,127
wimbledon,2023,W,18533,127
wimbledon,2024,M,30064,125
wimbledon,2024,W,17580,127
