slam,year,tour,fold,n_matches,n_points,n_set_blocks,serve_win_rate,serve_number_missing_frac,tiebreak_point_frac,points_per_match_median,points_per_set_block_median,points_per_set_block_p10,points_per_set_block_p90
ausopen,2011,M,train,88,18244,622,0.6228,1.0,0.0283,199.0,28.0,20.0,42.0
ausopen,2011,W,train,91,13099,424,0.5583,1.0,0.0215,135.0,29.0,19.0,44.0
frenchopen,2011,M,train,99,21273,702,0.6181,1.0,0.0241,205.0,29.0,20.0,43.0
frenchopen,2011,W,train,95,12872,434,0.5536,1.0,0.0179,123.0,29.0,20.0,41.0
usopen,2011,M,train,84,16814,573,0.6233,1.0,0.0266,192.0,28.0,19.0,42.0
usopen,2011,W,train,77,10334,344,0.5601,1.0,0.0218,118.0,29.0,19.0,43.69999999999999
wimbledon,2011,M,train,64,13771,450,0.6635,1.0,0.0435,204.5,30.0,20.0,41.0
wimbledon,2011,W,train,53,7480,250,0.5845,1.0,0.0186,126.0,28.0,19.900000000000002,42.0
ausopen,2012,M,train,85,18466,619,0.6146,1.0,0.0269,213.0,28.0,19.0,42.0
ausopen,2012,W,train,82,10535,365,0.5507,1.0,0.0178,119.0,27.0,17.4,43.0
frenchopen,2012,M,train,87,19499,642,0.6188,1.0,0.0296,213.0,29.0,19.0,44.0
frenchopen,2012,W,train,85,11199,388,0.5495,1.0,0.0111,120.0,28.0,18.0,41.0
usopen,2012,M,train,91,20632,678,0.6373,1.0,0.0325,223.0,29.0,20.700000000000003,42.30000000000007
usopen,2012,W,train,80,10340,360,0.5621,1.0,0.0176,117.5,27.0,18.0,43.0
wimbledon,2012,M,train,73,16622,536,0.6675,1.0,0.0415,228.0,30.0,20.0,43.0
wimbledon,2012,W,train,67,9298,310,0.5882,1.0,0.0245,127.0,29.0,18.0,45.0
ausopen,2013,M,train,88,19598,642,0.6349,1.0,0.0314,197.5,29.0,20.0,43.0
ausopen,2013,W,train,91,12090,406,0.5468,1.0,0.012,119.0,28.0,18.5,42.0
frenchopen,2013,M,train,94,20294,665,0.624,1.0,0.0293,193.5,29.0,20.0,43.0
frenchopen,2013,W,train,92,12915,424,0.5557,1.0,0.0218,130.0,29.0,19.0,43.0
usopen,2013,M,train,89,19790,656,0.6246,1.0,0.0318,219.0,28.0,20.0,43.0
usopen,2013,W,train,78,10563,350,0.5563,1.0,0.0151,124.0,29.0,19.0,43.0
wimbledon,2013,M,train,75,16041,509,0.6672,1.0,0.0421,203.0,30.0,20.0,43.19999999999999
wimbledon,2013,W,train,71,9650,322,0.5789,1.0,0.0181,125.0,28.0,19.0,42.0
ausopen,2014,M,train,77,16741,550,0.6426,1.0,0.0328,214.0,29.0,20.0,43.0
ausopen,2014,W,train,81,10918,376,0.5565,1.0,0.0147,129.0,27.5,19.0,42.0
frenchopen,2014,M,train,127,26337,870,0.6189,0.0317,0.0264,197.0,29.0,19.0,43.0
frenchopen,2014,W,train,127,17753,588,0.549,0.0462,0.0152,133.0,29.0,20.0,43.0
usopen,2014,M,train,95,20446,673,0.6377,0.0416,0.0276,207.0,29.0,20.0,43.0
